	transactions	input_value	output_value	fee	day	month	year
4146	1027836	170287779131842.000000000	170287779131842.000000000	470540225438.000000000	26	1	2021
4147	858912	199447166731619.000000000	199447166731619.000000000	445034680060.000000000	27	1	2021
4148	903434	218075198860885.000000000	218075198860885.000000000	420365959290.000000000	28	1	2021
4149	903486	249233310059519.000000000	249233310059519.000000000	1057662710304.000000000	29	1	2021
4150	828940	195634288669113.000000000	195634288669113.000000000	963441092430.000000000	30	1	2021
4151	911383	199035157563079.000000000	199035157563079.000000000	741223548007.000000000	31	1	2021
4152	708103	187260829828704.000000000	187260829828704.000000000	756315913774.000000000	1	2	2021
4153	920796	197700697667661.000000000	197700697667661.000000000	782787526510.000000000	2	2	2021
4154	908115	206420815732257.000000000	206420815732257.000000000	745991136086.000000000	3	2	2021
4155	961569	218021934621020.000000000	218021934621020.000000000	1207836266472.000000000	4	2	2021
4156	1040720	195881797075520.000000000	195881797075520.000000000	935743608826.000000000	5	2	2021
4157	983235	215585522735198.000000000	215585522735198.000000000	881890529064.000000000	6	2	2021
4158	1002498	204740249210701.000000000	204740249210701.000000000	590180262558.000000000	7	2	2021
4159	1008727	226264638453613.000000000	226264638453613.000000000	792039379573.000000000	8	2	2021
4160	829186	339956649456996.000000000	339956649456996.000000000	997455099047.000000000	9	2	2021
4161	847601	216182839908401.000000000	216182839908401.000000000	1026990343337.000000000	10	2	2021
4162	731458	238091630818238.000000000	238091630818238.000000000	1221405476138.000000000	11	2	2021
4163	821279	214266131125551.000000000	214266131125551.000000000	1231978288759.000000000	12	2	2021
4164	1004909	152351515888094.000000000	152351515888094.000000000	1111868755491.000000000	13	2	2021
4165	961678	188530751259202.000000000	188530751259202.000000000	898492906679.000000000	14	2	2021
4166	946160	237382078415290.000000000	237382078415290.000000000	902947478666.000000000	15	2	2021
4167	715012	251455363902971.000000000	251455363902971.000000000	684996419342.000000000	16	2	2021
4168	823593	207683379620225.000000000	207683379620225.000000000	930205062811.000000000	17	2	2021
4169	819863	220206479931453.000000000	220206479931453.000000000	973989541791.000000000	18	2	2021
4170	922508	236503655474586.000000000	236503655474586.000000000	1088059107490.000000000	19	2	2021
4171	892032	219454752059808.000000000	219454752059808.000000000	1062607960499.000000000	20	2	2021
4172	890195	178369095040503.000000000	178369095040503.000000000	987465391710.000000000	21	2	2021
4173	829905	199041015592635.000000000	199041015592635.000000000	882783870170.000000000	22	2	2021
4174	748125	217270119477557.000000000	217270119477557.000000000	1224862707079.000000000	23	2	2021
4175	955087	212042600262338.000000000	212042600262338.000000000	1427634129025.000000000	24	2	2021
4176	957636	231245517270825.000000000	231245517270825.000000000	1157510089245.000000000	25	2	2021
4177	820972	206823893274880.000000000	206823893274880.000000000	1155834283273.000000000	26	2	2021
4178	988607	167658728466003.000000000	167658728466003.000000000	721580753533.000000000	27	2	2021
4179	866533	173170969468256.000000000	173170969468256.000000000	738249455312.000000000	28	2	2021
4180	796722	178346254266431.000000000	178346254266431.000000000	879874670577.000000000	1	3	2021
4181	869502	188770464065872.000000000	188770464065872.000000000	886942253152.000000000	2	3	2021
4182	927189	187460560548980.000000000	187460560548980.000000000	934978090307.000000000	3	3	2021
4183	762520	151782837085402.000000000	151782837085402.000000000	758873994652.000000000	4	3	2021
4184	915962	177879351210461.000000000	177879351210461.000000000	950851269536.000000000	5	3	2021
